Date,RUT,SP400,OVV,AR,CHK,SWN,RRC,BJ,CAR,PDCE,LSCC,WSC,PFGC,TTEK,HR,IWN,VTWO,URTY,VTWV,TNA,TZA,RWM,SRTY,TWM,AEO,DPZ,FNF,FL,GT,IBKR,MAT,NYT,SEDG,STLD,TRIP,WH,YELP,XMMO,XMHQ,IJH,MDY,IVOO,SPMD,SPY
2021-02-10,2282.43994140625,2519.239990234375,20.09000015258789,8.399999618530273,44.9900016784668,4.380000114440918,10.1899995803833,43.689998626708984,43.27000045776367,28.09000015258789,44.720001220703125,26.959999084472656,52.290000915527344,134.25999450683594,29.09000015258789,151.39999389648438,91.61499786376953,119.41999816894531,132.72000122070312,100.48999786376953,34.08000183105469,21.799999237060547,53.75,14.649999618530273,24.81999969482422,382.05999755859375,37.5384635925293,51.119998931884766,13.989999771118164,71.87000274658203,18.469999313354492,49.209999084472656,320.3999938964844,38.400001525878906,36.59000015258789,62.29999923706055,36.790000915527344,86.12999725341797,73.7699966430664,251.52000427246094,459.3599853515625,170.0500030517578,44.189998626708984,390.0799865722656
2021-02-11,2285.320068359375,2535.25,20.549999237060547,8.109999656677246,42.79999923706055,4.170000076293945,9.569999694824219,42.86000061035156,42.75,27.81999969482422,46.849998474121094,26.520000457763672,51.310001373291016,134.89999389648438,29.049999237060547,151.30999755859375,91.52999877929688,119.05999755859375,132.52000427246094,100.12999725341797,34.2400016784668,21.81999969482422,53.79999923706055,14.680000305175781,24.8700008392334,385.20001220703125,38.42307662963867,52.040000915527344,14.319999694824219,71.44999694824219,18.09000015258789,49.459999084472656,330.7799987792969,38.779998779296875,36.97999954223633,60.91999816894531,37.90999984741211,87.5,74.37000274658203,253.08999633789062,462.19000244140625,171.1199951171875,44.459999084472656,390.7099914550781
2021-02-12,2289.360107421875,2544.550048828125,21.690000534057617,9.0,42.5099983215332,4.340000152587891,10.15999984741211,43.0,44.709999084472656,28.600000381469727,48.439998626708984,26.780000686645508,50.45000076293945,133.97999572753906,28.989999771118164,151.9600067138672,91.7750015258789,119.9800033569336,133.25999450683594,100.94000244140625,33.91999816894531,21.780000686645508,53.400001525878906,14.59000015258789,24.6200008392334,385.1700134277344,38.105770111083984,52.130001068115234,14.069999694824219,72.66999816894531,18.709999084472656,48.90999984741211,330.8900146484375,39.33000183105469,37.380001068115234,60.20000076293945,36.970001220703125,88.02999877929688,74.63999938964844,253.85000610351562,463.5799865722656,171.74000549316406,44.630001068115234,392.6400146484375
2021-02-16,2272.889892578125,2539.22998046875,22.700000762939453,9.489999771118164,43.54999923706055,4.510000228881836,10.9399995803833,43.459999084472656,45.70000076293945,29.25,48.630001068115234,26.020000457763672,51.470001220703125,136.6699981689453,28.5,152.30999755859375,91.18499755859375,117.76000213623047,133.44000244140625,98.9800033569336,34.560001373291016,21.90999984741211,54.400001525878906,14.770000457763672,25.299999237060547,377.9200134277344,38.0,51.900001525878906,14.199999809265137,74.6500015258789,18.649999618530273,48.9900016784668,331.3500061035156,41.189998626708984,37.290000915527344,60.70000076293945,36.15999984741211,87.58999633789062,74.62000274658203,253.38999938964844,462.7900085449219,171.35000610351562,44.560001373291016,392.29998779296875
2021-02-17,2256.110107421875,2525.610107421875,22.93000030517578,9.779999732971191,44.2599983215332,4.599999904632568,11.470000267028809,43.810001373291016,42.81999969482422,29.190000534057617,47.22999954223633,26.110000610351562,49.900001525878906,135.05999755859375,28.399999618530273,151.42999267578125,90.51000213623047,115.05000305175781,132.72000122070312,96.77999877929688,35.36000061035156,22.079999923706055,55.599998474121094,14.979999542236328,24.969999313354492,376.489990234375,38.019229888916016,50.54999923706055,14.119999885559082,74.23999786376953,19.100000381469727,49.68000030517578,334.79998779296875,40.709999084472656,38.04999923706055,59.849998474121094,35.880001068115234,87.33000183105469,74.2699966430664,252.1300048828125,460.2799987792969,170.52000427246094,44.33000183105469,392.3900146484375
2021-02-18,2218.389892578125,2496.64990234375,20.950000762939453,8.960000038146973,43.0,4.21999979019165,10.350000381469727,44.77000045776367,44.04999923706055,28.0,46.439998626708984,26.299999237060547,49.880001068115234,136.17999267578125,27.8799991607666,149.08999633789062,89.07499694824219,109.72000122070312,130.60000610351562,92.13999938964844,37.040000915527344,22.43000030517578,58.29999923706055,15.460000038146973,24.59000015258789,377.1400146484375,38.096153259277344,51.790000915527344,13.680000305175781,74.55999755859375,19.059999465942383,49.84000015258789,316.0899963378906,39.70000076293945,38.439998626708984,60.2400016784668,35.0099983215332,86.02999877929688,73.41999816894531,249.3300018310547,455.3500061035156,168.6699981689453,43.810001373291016,390.7200012207031
2021-02-19,2266.68994140625,2535.389892578125,21.360000610351562,8.960000038146973,44.0,4.269999980926514,10.170000076293945,44.65999984741211,48.75,28.690000534057617,48.25,26.700000762939453,52.630001068115234,143.19000244140625,27.520000457763672,152.19000244140625,90.81999969482422,116.44999694824219,133.25999450683594,97.91999816894531,34.63999938964844,21.950000762939453,54.650001525878906,14.819999694824219,24.959999084472656,371.4599914550781,38.9134635925293,51.86000061035156,13.899999618530273,74.52999877929688,19.020000457763672,50.9900016784668,321.989990234375,40.84000015258789,39.91999816894531,63.4900016784668,36.150001525878906,86.5199966430664,74.30999755859375,253.08999633789062,461.8900146484375,171.17999267578125,44.470001220703125,390.0299987792969
2021-02-22,2251.070068359375,2527.02001953125,22.6200008392334,8.760000228881836,43.84000015258789,4.21999979019165,10.300000190734863,43.130001068115234,50.5,30.65999984741211,46.59000015258789,26.649999618530273,55.08000183105469,140.83999633789062,27.719999313354492,153.99000549316406,90.34500122070312,114.19000244140625,134.8000030517578,96.11000061035156,35.279998779296875,22.09000015258789,55.650001525878906,15.0,25.229999542236328,365.1600036621094,39.105770111083984,53.97999954223633,16.81999969482422,73.5199966430664,19.459999084472656,51.7400016784668,288.70001220703125,42.040000915527344,44.709999084472656,64.70999908447266,37.5099983215332,84.02999877929688,73.58000183105469,252.25,460.45001220703125,170.6199951171875,44.34000015258789,387.0299987792969
2021-02-23,2231.31005859375,2530.72998046875,23.350000381469727,8.920000076293945,43.65999984741211,4.139999866485596,10.430000305175781,41.84000015258789,54.5,31.31999969482422,45.84000015258789,27.209999084472656,54.70000076293945,137.77999877929688,28.440000534057617,153.49000549316406,89.55999755859375,111.18000030517578,134.60000610351562,93.52999877929688,36.2400016784668,22.280000686645508,57.04999923706055,15.260000228881836,25.559999465942383,366.739990234375,39.221153259277344,52.93000030517578,17.010000228881836,72.4800033569336,19.510000228881836,52.56999969482422,295.5799865722656,42.83000183105469,46.04999923706055,65.20999908447266,38.06999969482422,83.37999725341797,73.44999694824219,252.66000366210938,461.3399963378906,170.83999633789062,44.400001525878906,387.5
2021-02-24,2284.3798828125,2577.699951171875,23.649999618530273,9.539999961853027,45.0,4.320000171661377,10.6899995803833,42.529998779296875,55.900001525878906,33.58000183105469,49.36000061035156,27.6200008392334,55.52000045776367,138.88999938964844,27.940000534057617,157.67999267578125,91.6050033569336,119.16000366210938,138.16000366210938,100.22000122070312,33.599998474121094,21.739999771118164,53.0,14.529999732971191,26.709999084472656,364.5899963378906,39.721153259277344,54.75,16.899999618530273,75.16000366210938,19.709999084472656,52.279998779296875,308.1499938964844,43.86000061035156,49.560001373291016,67.69000244140625,39.02000045776367,84.62999725341797,74.4800033569336,257.2300109863281,469.7900085449219,174.1999969482422,45.22999954223633,391.7699890136719
